epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,229.456,0.98581,2.4931,1.26893,0.12594,0.57247,0.53378,0.55132,0.35755,1.12802,1.51582,1.33687,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,436,1.10543,1.86244,1.35533,0.0889,0.55845,0.45778,0.48553,0.29598,1.26609,1.69735,1.45879,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836
3,623.559,1.22689,2.03249,1.45154,0.06857,0.3814,0.28886,0.24563,0.1263,1.54922,2.6101,1.81576,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782
4,810.39,1.30449,2.07623,1.52242,0.0636,0.41601,0.39859,0.35623,0.20312,1.40383,1.98728,1.64391,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,993.777,1.24212,1.87438,1.48292,0.06034,0.54646,0.42105,0.4444,0.26381,1.39233,1.88104,1.66116,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1177.68,1.20293,1.7379,1.44833,0.05846,0.5599,0.50905,0.52164,0.32805,1.24679,1.55748,1.48656,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1361.28,1.17135,1.65613,1.42471,0.05714,0.61757,0.52753,0.5579,0.35653,1.20381,1.47527,1.43756,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1545.19,1.14521,1.58515,1.40673,0.05605,0.64521,0.54817,0.60668,0.39329,1.19803,1.38568,1.42852,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1729.8,1.12313,1.52024,1.38527,0.05541,0.68428,0.57692,0.63797,0.41896,1.15913,1.28957,1.38583,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1918.43,1.10508,1.48744,1.37204,0.05457,0.68757,0.57924,0.64522,0.43155,1.14164,1.26563,1.38356,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2107.22,1.08944,1.44796,1.36461,0.05383,0.69873,0.61185,0.68009,0.46395,1.10403,1.17717,1.34282,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2299.72,1.06966,1.40589,1.34846,0.05341,0.71984,0.61162,0.68715,0.46745,1.10525,1.1574,1.34719,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2494.6,1.06011,1.38018,1.3376,0.05305,0.72123,0.61733,0.69656,0.47357,1.10333,1.14265,1.33642,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2688.67,1.04753,1.34527,1.32921,0.05258,0.72846,0.6412,0.71608,0.49221,1.06722,1.09426,1.30791,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2878.74,1.03357,1.32166,1.31747,0.05206,0.71001,0.65805,0.72722,0.50953,1.04886,1.06698,1.29201,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3069.47,1.03041,1.30247,1.31253,0.05172,0.74135,0.66687,0.74098,0.51198,1.05821,1.03657,1.29104,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3259.85,1.01628,1.26858,1.30133,0.05142,0.75148,0.66882,0.74277,0.52343,1.03715,1.01444,1.27131,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3450.67,1.01025,1.25685,1.30237,0.05127,0.72087,0.6644,0.7348,0.51854,1.02799,1.03705,1.27203,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3640.48,1.00078,1.24001,1.29406,0.05114,0.76345,0.66865,0.75697,0.53722,1.01767,0.98237,1.26071,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3830.29,0.9922,1.21698,1.28747,0.05082,0.76287,0.68117,0.76089,0.54376,1.00063,0.98146,1.24717,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4019.65,0.98284,1.19707,1.28056,0.05042,0.78033,0.69392,0.77497,0.55446,0.99482,0.93402,1.24409,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
